Posicion,Nombre de la cancion,Artista,Popularidad,Duration_ms,ReleaseDate,Pais
1,HOLA PERDIDA,"Luck Ra, KHEA",78,166536,2024-02-02,Argentina
2,Gata Only,"FloyyMenor, Cris Mj",91,222000,2024-02-02,Argentina
3,Una Foto Remix (feat. Emilia),"Mesita, Nicki Nicole, Tiago PZK, Emilia",91,243898,2024-01-05,Argentina
1,LUNA,"Feid, ATL Jacob",97,196800,2023-12-01,Colombia
2,PERRO NEGRO,"Bad Bunny, Feid",95,162767,2023-10-13,Colombia
3,La Diabla,Xavi,98,172264,2023-11-30,Colombia
1,FARDOS,"JC Reyes, De La Ghetto",79,183335,2024-02-16,España
2,X'CLUSIVO - REMIX,"Gonzy, SAIKO, Arcángel",66,208133,2024-02-29,España
3,LA FALDA,Myke Towers,94,174229,2023-09-18,España
1,Beautiful Things,Benson Boone,100,180304,2024-01-18,Global
2,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",95,264324,2024-02-09,Global
3,TEXAS HOLD 'EM,Beyoncé,87,235636,2024-02-10,Global
1,La Diabla,Xavi,98,172264,2023-11-30,Mexico
2,La Víctima,Xavi,95,156345,2023-08-17,Mexico
3,FIRST LOVE,"Oscar Ortiz, Edgardo Nuñez",92,169440,2023-12-07,Mexico
1,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",95,264324,2024-02-09,USA
2,Beautiful Things,Benson Boone,100,180304,2024-01-18,USA
3,TEXAS HOLD 'EM,Beyoncé,87,235636,2024-02-10,USA
