Posicion,Nombre de la cancion,Artista,Popularidad,Duration_ms,ReleaseDate,Pais
28,QLONA,"KAROL G, Peso Pluma",93,172797,2023-08-10,Global
29,Flowers,Miley Cyrus,95,200600,2023-08-18,Global
30,Training Season,Dua Lipa,91,209487,2024-02-15,Global
31,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",89,183550,2023-11-03,Global
32,Strangers,Kenya Grace,95,172964,2023-09-01,Global
33,Starboy,"The Weeknd, Daft Punk",94,230453,2016-11-25,Global
34,The Night We Met,Lord Huron,83,208211,2015-04-07,Global
35,vampire,Olivia Rodrigo,94,219724,2023-09-08,Global
36,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",94,227195,2023-08-25,Global
37,Paint The Town Red,Doja Cat,86,230480,2023-09-20,Global
38,BELLAKEO,"Peso Pluma, Anitta",94,197333,2023-12-07,Global
39,Según Quién,"Maluma, Carin Leon",89,142334,2023-08-25,Global
40,CONTIGO (with Tiësto),"KAROL G, Tiësto",90,192786,2024-02-15,Global
41,Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",95,260370,2024-01-12,Global
42,Never Lose Me,Flo Milli,93,125901,2023-11-30,Global
43,Snooze,SZA,94,201800,2022-12-09,Global
44,As It Was,Harry Styles,94,167303,2022-05-20,Global
45,Locked out of Heaven,Bruno Mars,91,233478,2012-12-07,Global
46,Daylight,David Kushner,94,212953,2023-04-14,Global
47,ONE CALL,Rich Amiri,87,121399,2023-11-17,Global
48,Viva La Vida,Coldplay,89,242373,2008-05-26,Global
49,Murder On The Dancefloor,Sophie Ellis-Bextor,94,230013,2002-06-06,Global
50,FIRST LOVE,"Oscar Ortiz, Edgardo Nuñez",92,169440,2023-12-07,Global
1,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",95,264324,2024-02-09,USA
2,Beautiful Things,Benson Boone,100,180304,2024-01-18,USA
3,TEXAS HOLD 'EM,Beyoncé,87,235636,2024-02-10,USA
4,redrum,21 Savage,97,270697,2024-01-12,USA
5,Stick Season,Noah Kahan,97,182346,2022-10-14,USA
6,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",94,227195,2023-08-25,USA
7,End of Beginning,Djo,92,159245,2022-09-16,USA
8,Whatever She Wants,Bryson Tiller,86,161342,2024-02-13,USA
9,Lovin On Me,Jack Harlow,97,138411,2023-11-10,USA
10,Lose Control,Teddy Swims,94,210688,2023-09-15,USA
11,Saturn,SZA,88,186191,2024-02-22,USA
12,greedy,Tate McRae,99,131872,2023-09-15,USA
13,FE!N (feat. Playboi Carti),"Travis Scott, Playboi Carti",93,191700,2023-07-28,USA
14,Cruel Summer,Taylor Swift,99,178426,2019-08-23,USA
15,Never Lose Me,Flo Milli,93,125901,2023-11-30,USA
16,ONE CALL,Rich Amiri,87,121399,2023-11-17,USA
17,La Diabla,Xavi,98,172264,2023-11-30,USA
18,My Love Mine All Mine,Mitski,98,137773,2023-09-15,USA
19,Last Night,Morgan Wallen,86,163854,2023-03-03,USA
20,Breathe,Yeat,85,170847,2024-02-16,USA
21,Something in the Orange,Zach Bryan,91,228013,2022-04-22,USA
22,500lbs,Lil Tecca,88,144390,2023-09-22,USA
23,Praise Jah In The Moonlight,YG Marley,95,263040,2023-12-27,USA
24,Snooze,SZA,94,201800,2022-12-09,USA
25,Rich Baby Daddy (feat. Sexyy Red & SZA),"Drake, Sexyy Red, SZA",93,319191,2023-10-06,USA
26,vampire,Olivia Rodrigo,94,219724,2023-09-08,USA
27,I KNOW ?,Travis Scott,92,211582,2023-07-28,USA
28,Surround Sound (feat. 21 Savage & Baby Tate),"JID, 21 Savage, Baby Tate",93,229938,2022-10-31,USA
29,Agora Hills,Doja Cat,84,265360,2023-09-20,USA
30,Thinkin’ Bout Me,Morgan Wallen,88,177387,2023-03-03,USA
31,La Víctima,Xavi,95,156345,2023-08-17,USA
32,Feather,Sabrina Carpenter,93,185552,2023-03-17,USA
33,BURN,"¥$, Kanye West, Ty Dolla $ign",89,111458,2024-02-09,USA
34,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",85,244684,2024-02-09,USA
35,You Proof,Morgan Wallen,85,157477,2023-03-03,USA
36,Heading South,Zach Bryan,87,171692,2019-09-30,USA
37,MY EYES,Travis Scott,91,251249,2023-07-28,USA
38,No Role Modelz,J. Cole,91,292799,2014-12-09,USA
39,Heartless,Kanye West,91,211000,2008-11-24,USA
40,Scared To Start,Michael Marcagi,90,159636,2024-01-12,USA
41,IDGAF (feat. Yeat),"Drake, Yeat",91,260111,2023-10-06,USA
42,First Person Shooter (feat. J. Cole),"Drake, J. Cole",89,247444,2023-10-06,USA
43,Home,Good Neighbours,89,157485,2024-01-17,USA
44,Paint The Town Red,Doja Cat,86,230480,2023-09-20,USA
45,Water,Tyla,94,200255,2023-07-28,USA
46,Father Stretch My Hands Pt. 1,Kanye West,91,135920,2016-06-10,USA
47,Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna",85,215466,2024-02-09,USA
48,Fast Car,Luke Combs,89,265493,2023-03-24,USA
49,Wild Ones (feat. Jelly Roll),"Jessie Murph, Jelly Roll",85,141367,2023-10-06,USA
50,act ii: date @ 8,4batz,89,113684,2023-12-15,USA
1,FARDOS,"JC Reyes, De La Ghetto",79,183335,2024-02-16,España
2,X'CLUSIVO - REMIX,"Gonzy, SAIKO, Arcángel",66,208133,2024-02-29,España
3,LA FALDA,Myke Towers,94,174229,2023-09-18,España
